;source;target;value
243;Unity;Rick;5
244;Rick;Beta-7;6
245;Rick;Jerry-Sitter;1
246;Jerry-Sitter;Jerry;22
247;Jerry;Jerry-Sitter;22
248;Jerry;Pajama;11
249;Pajama;Jerry;5
250;Pajama;Tuxedo;6
251;Tuxedo;Jerry;4
252;Ricks;Jerrys;3
253;Jerrys;Rick;9
254;Rick;Krombopulos;18
255;Krombopulos;Rick;11
256;Morty;Krombopulos;5
257;Morty;Roy;4
258;Rick;Roy;29
259;Roy;Rick;24
260;Krombopulos;Roy;4
261;Roy;Jerry;6
262;Jerry;Daycare;10
263;Daycare;Jerry;17
264;Beth;Daycare;6
265;Daycare;Jerrys;6
266;Jerrys;Daycare;3
267;Beth;Jerrys;22
268;Jerrys;Jerry;21
269;Jerry;Krombopulos;4
270;Rick;Fart;8
271;Fart;Rick;7
272;Rick;Random;2
273;Random;Jerrys;5
274;Roy;Morty;5
275;Jerry;Jerrys;10
276;Jerry;Buzzcut;5
277;Buzzcut;Jerrys;5
278;Jerry-Sitter;Rick;5
279;Morty;Garblovian;2
280;Garblovian;Jerry;28
281;Jerry;Garblovian;19
282;Jerrys;Paul;3
283;Paul;Jerry;9
284;Jerry;Paul;11
285;Paul;Beth;5
286;Jerry;Various;5
287;Various;Rick;4
288;Fart;Morty;4
289;Morty;Jerrys;4
290;Shnoopy;Rick;7
291;Rick;Shnoopy;6
292;Shnoopy;Jerry;5
293;Jerry;Shnoopy;2
294;Jerry;Risotto;18
295;Risotto;Jerry;27
296;Risotto;Rick;16
297;Rick;Risotto;10
298;Jerry;Gibble;4
299;Gibble;Rick;6
300;Beth;Customer;17
301;Customer;Beth;16
302;Rick;Gene;3
303;Gene;Beth;3
304;Beth;Jessica;4
305;Jessica;Summer;14
306;Beth;Ethan;7
307;Jerry;Assassin;31
308;Assassin;Rick;19
309;Rick;Captain's;3
310;Captain's;Rick;3
311;Assassin;Jerry;32
312;Rick;Assassin;12
313;Jerry;Captain's;5
314;Captain's;Beth;2
315;Beth;Tricia;4
316;Tricia;Ethan;13
317;Summer;Tricia;3
318;Ethan;Tricia;6
319;Jerry;Customer;4
320;Customer;Summer;2
321;Beth;Vet;17
322;Vet;Beth;16
323;Beth;Hunter;4
324;Hunter;Vet;5
325;Vet;Hunter;16
326;Hunter;Beth;7
327;Beth;Michael;5
328;Michael;Vet;5
329;Hunter;Brad;4
330;Brad;Hunter;4
331;Hunter;Jerry;2
332;Jerry;Vet;7
333;Summer;Summers;3
334;Summers;Morty;4
335;Vet;Jerry;6
336;Albert;Rick;2
337;Terry;Jim;12
338;Jim;Terry;9
339;Goldenfold;Beth;8
340;Beth;Goldenfold;16
341;Goldenfold;Simon;1
342;Rick;Cromulon;10
343;Cromulon;Simon;2
344;Simon;Rick;9
345;Rick;Nathan;15
346;Rick;Simon;5
347;Jew;Principal;1
348;Pastor;Goldenfold;4
349;Rick;Jump;5
350;Principal;Giant;5
351;Nathan;Rick;4
352;Rick;Pastor;6
353;Pastor;Summer;6
354;Principal;Beth;23
355;Summer;Simon;4
356;Principal;Vagina;5
357;Vagina;Summer;7
358;Birdperson;Rick;40
359;Nathan;Birdperson;2
360;Rick;Birdperson;32
361;Birdperson;Tammy;51
362;Tammy;Birdperson;36
363;Principal;Goldenfold;7
364;Principal;Summer;5
365;Goldenfold;Principal;4
366;Goldenfold;Vagina;6
367;Goldenfold;Jerry;9
368;Tammy;Summer;20
369;Summer;Tammy;24
370;Tammy;Jerry;5
371;Beth;Tammy;8
372;Tammy;Rick;20
373;Rick;Tammy;22
374;Tammy;Beth;9
375;Beth;Pat;4
376;Pat;Summer;6
377;Jerry;Pat;2
378;Pat;Jerry;4
379;Birdperson;Morty;6
380;Beth;Birdperson;22
381;Birdperson;Beth;19
382;Rick;Cyborg;4
383;Summer;Birdperson;5
384;Rick;Pat;5
385;Pat;Diane;5
386;Diane;Rick;5
387;Morty;Phone;4
388;Phone;Rick;2
389;Jerry;Customs;11
390;Customs;Jerry;11
391;Jerry;Cyborg;4
392;Cyborg;Rick;2
393;Nicky;Rick;15
394;Rick;Nicky;16
395;Nicky;Jerry;7
396;Beth;Nicky;10
397;Jerry;Nazi;5
398;Nazi;Rick;5
399;Nicky;Nazi;5
400;Jerry;Frankenstein;8
401;Frankenstein;Rick;23
402;Rick;Frankenstein;24
403;Beth;Frankenstein;6
404;Frankenstein;Summer;12
405;Summer;Frankenstein;5
406;Frankenstein;Beth;5
407;Rick;Hamurai;6
408;Hamurai;Rick;3
409;Frankenstein;Reverse;5
410;Hamurai;Reverse;5
411;Reverse;Beth;5
412;Beth;Reverse;6
413;Reverse;Rick;9
414;Rick;Reverse;5
415;Beth;Conroy;5
416;Conroy;Summer;13
417;Jerry;Conroy;4
418;Summer;Conroy;13
419;Conroy;Beth;5
420;Conroy;Jerry;5
421;Young;Summer;6
422;Conroy;Rick;6
423;Rick;Young;14
424;Young;Rick;10
425;Rick;Diane;5
426;Diane;Young;9
427;Young;Diane;5
428;Young;Beth;6
429;Rick;Guard;11
430;Guard;Summer;14
431;Summer;Guard;8
432;Summer;Young;5
433;Rick;Roger;6
434;Rick;Braided;6
435;Braided;Summer;4
436;Summer;Braided;4
437;Summer;Ricks;5
438;Guard;Rick;5
439;Summer;Council;1
440;Rick;Teleporter;3
441;Teleporter;Rick;5
442;Rick;Kidnapped;4
443;Kidnapped;Random;2
444;Random;Hammerhead;6
445;Hammerhead;Rick;5
446;Rick;Council;6
447;Council;Summer;5
448;Rick;Ricktiminus;6
449;Ricktiminus;Rick;3
450;Rick;Gromflomite;5
451;Gromflomite;Rick;4
452;Tammy;Phoenixperson;11
453;Phoenixperson;Tammy;2
454;Phoenixperson;Pickle;2
455;Pickle;Rick;48
456;Rick;Pickle;20
457;Pickle;Morty;23
458;Morty;Pickle;21
459;Pickle;Beth;44
460;Beth;Pickle;49
461;Pickle;Summer;15
462;Goldenfold;Summer;8
463;Summer;Goldenfold;7
464;Jaguar;Beth;4
465;Pickle;Jaguar;49
